id,product_id,property_type_id,value,,
472,80,14,Tiếng Việt,,
473,80,15,Hành động,,
474,81,8,Blu-ray,,
475,81,9,Jonathan Mostow,,
476,81,10,95,,
477,81,11,Touchstone Home Entertainment,,
478,81,12,03-2014,,
479,81,13,Tiếng Anh,,
480,81,14,Tiếng Việt,,
481,81,15,Tâm lí hình sự,,
482,82,8,Blu-ray,,
483,82,9,Văn Hòa,,
484,82,10,135,,
485,82,11,Phương Nam Film,,
486,82,12,05-2018,,
487,82,13,Tiếng Việt,,
488,82,14,Tiếng Việt,,
489,82,15,Tình cảm,,
490,83,8,Blu-ray,,
491,83,9,Clint Eastwood,,
492,83,10,85,,
493,83,11,Warner Bros,,
494,83,12,03-2014,,
495,83,13,Tiếng Anh,,
496,83,14,Tiếng Việt,,
497,83,15,Phim sử thi,,
498,84,8,Blu-ray,,
499,84,9,Mathieu Kassovitz,,
500,84,10,150,,
501,84,11,20th Century Fox,,
502,84,12,03-2014,,
503,84,13,Tiếng Anh,,
504,84,14,Tiếng Việt,,
505,84,15,Viễn tưởng - Hành động,,
506,85,8,Blu-ray,,
507,85,9,Ranger Rose,,
508,85,10,60,,
509,85,11,Phương Nam Film,,
510,85,12,08-2018,,
511,85,13,Tiếng Việt,,
512,85,14,Tiếng Việt,,
513,85,15,Siêu anh hùng,,
514,86,8,Blu-ray,,
515,86,9,Nguyễn Thanh Vân,,
516,86,10,140,,
517,86,11,Hãng phim truyện Việt Nam,,
518,86,12,09-2015,,
519,86,13,Tiếng Việt,,
520,86,14,Tiếng Việt,,
521,86,15,Tình cảm,,
522,87,8,Blu-ray,,
523,87,9,Quốc Long,,
524,87,10,89,,
525,87,11,Hãng phim truyện Việt Nam,,
526,87,12,08-1980,,
527,87,13,Tiếng Việt,,
528,87,14,Tiếng Việt,,
529,87,15,Thể thao,,
530,88,8,Blu-ray,,
531,88,9,Phạm Kỳ Nam,,
532,88,10,100,,
533,88,11,Hãng phim truyện Việt Nam,,
534,88,12,01-1971,,
535,88,13,Tiếng Việt,,
536,88,14,Tiếng Việt,,
537,88,15,Hành Động,,
538,89,8,Blu-ray,,
539,89,9,Đới Xuân Việt,,
540,89,10,120,,
